func,algo,run,best_f,seconds
F22022,MSBKA,5,4.0124386024e+02,0.33
F22022,MSBKA,6,4.0715962809e+02,0.34
F22022,MSBKA,7,4.3509192781e+02,0.34
F22022,MSBKA,8,4.0838375446e+02,0.33
F22022,MSBKA,9,4.2383895106e+02,0.33
F22022,MSBKA,10,4.0770299524e+02,0.34
F22022,MSBKA,11,4.0085266745e+02,0.34
F22022,MSBKA,12,4.1627161428e+02,0.34
F22022,MSBKA,13,4.0388690763e+02,0.34
F22022,MSBKA,14,4.7179115045e+02,0.34
F22022,MSBKA,15,4.1487364920e+02,0.34
F22022,MSBKA,16,4.0354052400e+02,0.34
F22022,MSBKA,17,4.7732841556e+02,0.37
F22022,MSBKA,18,4.2690462114e+02,0.33
F22022,MSBKA,19,4.0933019815e+02,0.33
F22022,MSBKA,20,4.0842290484e+02,0.34
F22022,MSBKA,21,4.0312600526e+02,0.33
F22022,MSBKA,22,4.0933422606e+02,0.34
F22022,MSBKA,23,4.0165717690e+02,0.34
F22022,MSBKA,24,4.0817761146e+02,0.34
F22022,MSBKA,25,4.6308850183e+02,0.33
F22022,BKA,0,4.1428419797e+02,0.27
F22022,BKA,1,4.0294890211e+02,0.27
F22022,BKA,2,4.0729832083e+02,0.26
F22022,BKA,3,4.1401694585e+02,0.27
F22022,MSBKA,26,4.4965969876e+02,0.35
F22022,MSBKA,27,4.1443376173e+02,0.34
F22022,MSBKA,28,4.0789486687e+02,0.34
F22022,MSBKA,29,4.0641399856e+02,0.34
F22022,BKA,4,4.8834200891e+02,0.26
F22022,BKA,5,4.0990917858e+02,0.26
F22022,BKA,6,4.0892636775e+02,0.26
F22022,BKA,7,4.0111639555e+02,0.26
F22022,BKA,12,4.0020335002e+02,0.26
F22022,BKA,13,4.3855710215e+02,0.26
F22022,BKA,14,4.0918674398e+02,0.26
F22022,BKA,15,4.7017135387e+02,0.26
F22022,BKA,8,4.0542795401e+02,0.26
F22022,BKA,9,4.0902727386e+02,0.26
F22022,BKA,10,4.0031776923e+02,0.26
F22022,BKA,11,4.0038597243e+02,0.26
F22022,BKA,16,4.1569807126e+02,0.27
F22022,BKA,17,4.6502751486e+02,0.26
F22022,BKA,18,4.0195997404e+02,0.26
F22022,BKA,19,4.0893070875e+02,0.26
F22022,BKA,20,4.0034011554e+02,0.26
F22022,BKA,21,4.1552912848e+02,0.26
F22022,BKA,22,4.0908999101e+02,0.26
F22022,BKA,23,4.0400185105e+02,0.26
F22022,BKA,24,4.7419049623e+02,0.26
