algo,lam,run,objective,risk,return
SBOA,0.80,1,-5.0998154893e-04,9.9312035028e-04,6.5223891458e-03
SBOA,0.80,2,-5.0943076793e-04,9.9280044818e-04,6.5183556324e-03
SBOA,0.80,3,-5.0888334941e-04,9.9180147682e-04,6.5116226543e-03
SBOA,0.80,4,-5.0939163467e-04,9.9815235244e-04,6.5395675831e-03
SBOA,0.85,0,-1.5470490093e-04,8.4646952239e-04,5.8280266331e-03
SBOA,0.85,1,-1.5411911910e-04,8.4641161478e-04,5.8237932777e-03
SBOA,0.85,2,-1.5361232306e-04,8.4582198811e-04,5.8170734197e-03
SBOA,0.85,3,-1.5355433180e-04,8.4503853595e-04,5.8122472490e-03
SBOA,0.85,4,-1.5478391026e-04,8.4638204648e-04,5.8280576652e-03
SBOA,0.90,0,1.6085687246e-04,7.4559567941e-04,5.1017923901e-03
SBOA,0.90,1,1.5969596543e-04,7.4884066960e-04,5.1426063721e-03
SBOA,0.90,2,1.6047929889e-04,7.4665602908e-04,5.1151112727e-03
SBOA,0.90,3,1.5975359552e-04,7.4862785088e-04,5.1401147028e-03
SBOA,0.90,4,1.5976520077e-04,7.4859188367e-04,5.1396749453e-03
SBOA,0.95,0,4.3294565695e-04,6.7793888442e-04,4.2219256651e-03
SBOA,0.95,1,4.3299624821e-04,6.7758842106e-04,4.2142550359e-03
SBOA,0.95,2,4.3301996533e-04,6.7739260104e-04,4.2100601131e-03
SBOA,0.95,3,4.3293275527e-04,6.7810519185e-04,4.2253435397e-03
SBOA,1.00,3,6.4228331470e-04,6.4228331470e-04,2.7854716553e-03
SBOA,1.00,4,6.4227653180e-04,6.4227653180e-04,2.7850088035e-03
SBOA,0.95,4,4.3288567962e-04,6.7853801847e-04,4.2345087586e-03
SBOA,1.00,0,6.4225833815e-04,6.4225833815e-04,2.7845574235e-03
SBOA,1.00,1,6.4226072790e-04,6.4226072790e-04,2.7847543203e-03
SBOA,1.00,2,6.4228681242e-04,6.4228681242e-04,2.7857471631e-03
