study,algo,problem,dim,run,value
scale,COA,N8,16,13,8.6469792490e-01
scale,COA,N12,24,13,9.0967570954e-01
scale,COA,N20,40,13,8.5857990771e-01
scale,COA,N30,60,13,8.3914451513e-01
scale,SBOA,N8,16,14,9.4584253222e-01
scale,SBOA,N12,24,14,9.1459258228e-01
scale,SBOA,N20,40,14,8.9027565778e-01
scale,SBOA,N30,60,14,8.6611780250e-01
scale,MSSBOA,N8,16,14,9.3090317675e-01
scale,MSSBOA,N12,24,14,9.1436426249e-01
scale,MSSBOA,N20,40,14,8.9356205682e-01
scale,MSSBOA,N30,60,14,8.5284220297e-01
scale,RIME,N8,16,14,8.9946593159e-01
scale,RIME,N12,24,14,9.0074479901e-01
scale,RIME,N20,40,14,8.4887748307e-01
scale,RIME,N30,60,14,8.3372015917e-01
scale,LSHADE,N8,16,14,9.0028546732e-01
scale,LSHADE,N12,24,14,9.1196649267e-01
scale,LSHADE,N20,40,14,8.7910314088e-01
scale,LSHADE,N30,60,14,8.5957621447e-01
scale,GWO,N8,16,14,9.3379845789e-01
scale,GWO,N12,24,14,8.7660722995e-01
scale,GWO,N20,40,14,7.8830843007e-01
scale,GWO,N30,60,14,6.9477972895e-01
scale,COA,N8,16,14,9.1281933150e-01
scale,COA,N12,24,14,9.1493150794e-01
scale,COA,N20,40,14,8.3594341000e-01
scale,COA,N30,60,14,8.1817664520e-01
scale,MSSBOA,N8,16,15,9.3563220148e-01
scale,MSSBOA,N12,24,15,9.3095758259e-01
scale,MSSBOA,N20,40,15,8.8802551190e-01
scale,MSSBOA,N30,60,15,8.6520173722e-01
scale,SBOA,N8,16,15,9.2689793471e-01
scale,SBOA,N12,24,15,9.3105150118e-01
scale,SBOA,N20,40,15,8.9901552629e-01
scale,SBOA,N30,60,15,8.5515797424e-01
scale,RIME,N8,16,15,8.9553537181e-01
scale,RIME,N12,24,15,9.0750317691e-01
scale,RIME,N20,40,15,8.6004764046e-01
scale,RIME,N30,60,15,8.6070225487e-01
scale,LSHADE,N8,16,15,8.9538635782e-01
scale,LSHADE,N12,24,15,9.1466550724e-01
scale,LSHADE,N20,40,15,8.8125699640e-01
scale,LSHADE,N30,60,15,8.5389966743e-01
scale,GWO,N8,16,15,9.3734933665e-01
scale,GWO,N12,24,15,8.3877650229e-01
scale,GWO,N20,40,15,8.4422249061e-01
scale,GWO,N30,60,15,6.9810020022e-01
scale,COA,N8,16,15,8.9165026910e-01
scale,COA,N12,24,15,9.0849130292e-01
scale,COA,N20,40,15,8.7285439048e-01
scale,COA,N30,60,15,8.3220947012e-01
scale,MSSBOA,N8,16,16,9.0117690221e-01
scale,MSSBOA,N12,24,16,9.2963763432e-01
scale,MSSBOA,N20,40,16,8.9348857603e-01
scale,MSSBOA,N30,60,16,8.5410922046e-01
scale,SBOA,N8,16,16,9.3773898190e-01
scale,SBOA,N12,24,16,9.3034672352e-01
scale,SBOA,N20,40,16,8.8262363751e-01
scale,SBOA,N30,60,16,8.6112917966e-01
scale,RIME,N8,16,16,8.9178218268e-01
scale,RIME,N12,24,16,8.8607269200e-01
scale,RIME,N20,40,16,8.3002804881e-01
scale,RIME,N30,60,16,8.3534955302e-01
scale,LSHADE,N8,16,16,9.1930687823e-01
scale,LSHADE,N12,24,16,9.1690798763e-01
scale,LSHADE,N20,40,16,8.7811954849e-01
scale,LSHADE,N30,60,16,8.5986610925e-01
scale,GWO,N8,16,16,8.5127333233e-01
scale,GWO,N12,24,16,8.7973233061e-01
scale,GWO,N20,40,16,7.9808892329e-01
scale,GWO,N30,60,16,7.1199706689e-01
scale,COA,N8,16,16,8.9919864938e-01
scale,COA,N12,24,16,9.1386178491e-01
scale,COA,N20,40,16,8.5047465303e-01
scale,COA,N30,60,16,8.3227213771e-01
scale,MSSBOA,N8,16,17,9.2337745011e-01
scale,MSSBOA,N12,24,17,9.3204467591e-01
scale,MSSBOA,N20,40,17,8.9417749806e-01
scale,MSSBOA,N30,60,17,8.5710302410e-01
scale,SBOA,N8,16,17,9.4113949578e-01
scale,SBOA,N12,24,17,9.3504250249e-01
scale,SBOA,N20,40,17,8.7738612821e-01
scale,SBOA,N30,60,17,8.5916169137e-01
scale,RIME,N8,16,17,8.9917592558e-01
scale,RIME,N12,24,17,9.0950280903e-01
scale,RIME,N20,40,17,8.6994879357e-01
scale,RIME,N30,60,17,8.4357277847e-01
scale,LSHADE,N8,16,17,9.2643574549e-01
scale,LSHADE,N12,24,17,9.1350274190e-01
scale,LSHADE,N20,40,17,8.7766726887e-01
scale,LSHADE,N30,60,17,8.5765701389e-01
scale,GWO,N8,16,17,9.3724385865e-01
scale,GWO,N12,24,17,9.3710508971e-01
scale,GWO,N20,40,17,7.5152484750e-01
scale,GWO,N30,60,17,7.1498430429e-01
scale,COA,N8,16,17,8.9290941061e-01
scale,COA,N12,24,17,9.0964159394e-01
scale,COA,N20,40,17,8.6134460856e-01
scale,COA,N30,60,17,8.1622038614e-01
scale,MSSBOA,N8,16,18,9.1720607140e-01
scale,MSSBOA,N12,24,18,9.3345262552e-01
scale,MSSBOA,N20,40,18,8.7291953625e-01
scale,MSSBOA,N30,60,18,8.5978140190e-01
scale,SBOA,N8,16,18,9.1946080035e-01
scale,SBOA,N12,24,18,9.3540314781e-01
scale,SBOA,N20,40,18,9.0228161646e-01
scale,SBOA,N30,60,18,8.6047947502e-01
scale,RIME,N8,16,18,8.8697396236e-01
scale,RIME,N12,24,18,8.7808000309e-01
scale,RIME,N20,40,18,8.6462484912e-01
scale,RIME,N30,60,18,8.2580917782e-01
scale,LSHADE,N8,16,18,9.1049958211e-01
scale,LSHADE,N12,24,18,9.1271525995e-01
scale,LSHADE,N20,40,18,8.7571830912e-01
scale,LSHADE,N30,60,18,8.6060871088e-01
scale,GWO,N8,16,18,9.3378163416e-01
scale,GWO,N12,24,18,9.0423894321e-01
scale,GWO,N20,40,18,7.5649315722e-01
scale,GWO,N30,60,18,7.3554129339e-01
