study,algo,problem,dim,run,value
weights,MSSBOA,W2 (balance)|DL02,0,2,9.3681320416e-01
weights,MSSBOA,W2 (balance)|DL03,0,2,9.2046878682e-01
weights,MSSBOA,W2 (balance)|DL04,0,2,9.4857298544e-01
weights,MSSBOA,W2 (balance)|DL05,0,2,9.3270141663e-01
weights,MSSBOA,W2 (balance)|DL06,0,2,9.4851891546e-01
weights,MSSBOA,W2 (balance)|DL07,0,2,9.4051696968e-01
weights,MSSBOA,W2 (balance)|DL08,0,2,9.3082776322e-01
weights,MSSBOA,W3 (overlap)|DL01,0,2,9.3294163944e-01
weights,MSSBOA,W3 (overlap)|DL02,0,2,9.2726002258e-01
weights,MSSBOA,W3 (overlap)|DL03,0,2,9.0389731313e-01
weights,MSSBOA,W3 (overlap)|DL04,0,2,9.2836558883e-01
weights,MSSBOA,W3 (overlap)|DL05,0,2,9.4480552166e-01
weights,MSSBOA,W3 (overlap)|DL06,0,2,9.5244197093e-01
weights,MSSBOA,W3 (overlap)|DL07,0,2,9.1922166799e-01
weights,MSSBOA,W3 (overlap)|DL08,0,2,9.2351186480e-01
weights,SBOA,W0 (Ngo)|DL01,0,2,9.1875817053e-01
weights,SBOA,W0 (Ngo)|DL02,0,2,8.9058591943e-01
weights,SBOA,W0 (Ngo)|DL03,0,2,8.8227234603e-01
weights,SBOA,W0 (Ngo)|DL04,0,2,9.1631838975e-01
weights,MSSBOA,W4 (structure)|DL01,0,2,9.2816639101e-01
weights,MSSBOA,W4 (structure)|DL02,0,2,9.1527184524e-01
weights,MSSBOA,W4 (structure)|DL03,0,2,9.0208218322e-01
weights,MSSBOA,W4 (structure)|DL04,0,2,9.3295195244e-01
weights,MSSBOA,W4 (structure)|DL05,0,2,9.3719092341e-01
weights,MSSBOA,W4 (structure)|DL06,0,2,9.4939653436e-01
weights,MSSBOA,W4 (structure)|DL07,0,2,9.2193626932e-01
weights,MSSBOA,W4 (structure)|DL08,0,2,9.1409806525e-01
weights,SBOA,W0 (Ngo)|DL05,0,2,9.1927476688e-01
weights,SBOA,W0 (Ngo)|DL06,0,2,9.2327337176e-01
