study,algo,func,dim,run,error
variants,MSSBOA,F17,10,12,5.6368820200e+01
variants,MSSBOA,F17,10,13,5.5461796794e+01
variants,MSSBOA,F17,10,14,4.9845089822e+01
variants,MSSBOA,F17,10,15,4.4215427867e+01
variants,MSSBOA,F17,10,16,4.2302912470e+01
variants,MSSBOA,F17,10,17,3.1838518708e+01
variants,MSSBOA,F17,10,18,1.7231082998e+01
variants,MSSBOA,F17,10,19,5.8891136165e+01
variants,MSSBOA,F17,10,20,4.4169601683e+01
variants,MSSBOA,F17,10,21,2.9633426951e+01
variants,MSSBOA,F17,10,22,3.2631332455e+01
variants,MSSBOA,F17,10,23,3.9316160304e+01
variants,MSSBOA,F17,10,24,4.9434168061e+01
variants,MSSBOA,F17,10,25,2.9463654143e+01
variants,MSSBOA,F17,10,26,7.3259969037e+01
variants,MSSBOA,F17,10,27,3.5062508369e+01
variants,MSSBOA,F17,10,28,3.2134548559e+01
variants,MSSBOA,F17,10,29,4.0073777267e+01
variants,MSSBOA,F18,10,0,1.7960113146e+04
variants,MSSBOA,F18,10,1,2.0111400033e+04
variants,MSSBOA,F18,10,2,2.7786764468e+04
variants,MSSBOA,F18,10,3,2.6401963864e+03
variants,MSSBOA,F18,10,4,5.0693889558e+04
variants,MSSBOA,F18,10,5,6.7656639861e+02
variants,MSSBOA,F18,10,6,2.1599955839e+04
variants,MSSBOA,F18,10,7,1.3538797748e+04
variants,MSSBOA,F18,10,8,1.2283897008e+04
variants,MSSBOA,F18,10,9,2.9457010501e+03
variants,MSSBOA,F18,10,10,7.4835027106e+03
variants,MSSBOA,F18,10,11,1.5834490767e+04
variants,MSSBOA,F18,10,12,5.9911760235e+03
variants,MSSBOA,F18,10,13,3.5492227734e+03
variants,MSSBOA,F18,10,14,1.6550320339e+04
variants,MSSBOA,F18,10,15,3.1370443953e+03
variants,MSSBOA,F18,10,16,3.9425679440e+03
variants,MSSBOA,F18,10,17,4.0592247702e+03
variants,MSSBOA,F18,10,18,9.2804119629e+03
variants,MSSBOA,F18,10,19,1.7523850418e+03
variants,MSSBOA,F18,10,20,4.4360049686e+03
variants,MSSBOA,F18,10,21,7.7615623742e+03
variants,MSSBOA,F18,10,22,7.7137862603e+03
variants,MSSBOA,F18,10,23,5.0120176682e+04
variants,MSSBOA,F18,10,24,5.3976329360e+03
variants,MSSBOA,F18,10,25,6.8844533035e+03
variants,MSSBOA,F18,10,26,9.2746253362e+03
variants,MSSBOA,F18,10,27,2.1785202538e+04
variants,MSSBOA,F18,10,28,2.3317364948e+03
variants,MSSBOA,F18,10,29,8.1659330484e+03
