i,err,r,omega,delta_j,delta_s,phi,eta,rho,psi,wedge_mentoring,wedge_throughput,welfare_gap_pct,gain_s_m,gain_s_v,gain_s_w,gain_t_a
111,2.353672812205304e-14,0.038096547993565044,0.027018757614464144,0.27673016977884873,0.07013326686622115,0.2018565919579701,0.4250634431905539,0.49117586292232174,0.4428311302688326,3.3203911372383326,0.0687507612484386,1.5275644637269714,0.4372493802595745,0.033751401622450494,-0.07381257641909666,
112,2.153832667772827e-14,0.03824065967842746,0.020114011742276422,0.26795730982098875,0.09194896596839378,0.10111886517994657,0.46336951012321614,0.614130873735149,0.41868539421669304,5.653543359907228,0.05615179257239822,1.1263988386866153,0.6206909739352451,0.04339903381220811,-0.15896998765813075,
113,1.2989609388114415e-14,0.04879941617766586,0.031083220909256817,0.21762639156702557,0.10462251515652696,0.1848729435581532,0.4361394594060689,0.5150819544435125,0.47457099477381204,6.874981398639556,0.09751664508515034,2.0967386018633682,1.066836018869033,0.097299696167652,-0.31481526195540344,
114,2.0861090632708867e-13,0.05485921817802289,0.023890065846661118,0.2644213024232358,0.10569395708657608,0.17756147441422132,0.5524274844287549,0.3594749801991985,0.4499548692667924,8.457096152072623,0.07569612556130201,1.5758767216200509,1.0431593894362656,0.0704854073326544,-0.37990332243297287,
116,1.3988810110276875e-14,0.030903870986920816,0.028588040545338964,0.22133066116053302,0.09133147968319723,0.1871391159593131,0.5252402528804323,0.40304019090623144,0.27572343560246654,10.618346280105076,0.06298215707294341,1.2361842992268945,0.676071472404316,0.030673288220861572,-0.13646957692879935,
117,7.03881397612374e-14,0.037599083460282824,0.020819323759911367,0.25337349042589735,0.0829165151775115,0.21224690386556205,0.5558459571474829,0.3903670338916082,0.29511393167083255,8.442544371167052,0.04710940261788665,0.9557688450727131,0.5595588643009908,0.024265814731805335,-0.11843860683838914,
118,1.8984813721090357e-14,0.04418987347755586,0.02515160341650921,0.25997494337549526,0.10233982399719554,0.23666236567346147,0.4110017635389094,0.6328487217853898,0.2915396460908981,8.926930182425291,0.05718210371230348,1.2604905074233619,0.650066749888345,0.04270269413109151,-0.10536287216237339,
120,1.0746958878370937e-13,0.054518327786709314,0.025609636194091116,0.20264691992303047,0.10536652936728177,0.17077850528126276,0.4219024390761897,0.4645804406095765,0.4352079789332667,8.394775023144788,0.07844627509549085,1.7068227945485903,1.024271645486463,0.10484133695336517,-0.3298683250212542,
121,6.772360450213478e-15,0.04282109393131,0.021117488088240464,0.2428664252585119,0.07319774908657245,0.15161535697784279,0.41305876222091603,0.5394783279174296,0.33489501682037837,4.134285037492675,0.04395450482835872,0.9228839471649986,0.36980293100827843,0.026397933850197397,-0.05354772029492194,
124,9.32587340685127e-15,0.034859574322659945,0.022444103235369214,0.19526225677029885,0.08640347160084563,0.1320040913471756,0.4797424328384623,0.5107779433858617,0.2977060853262083,8.474868914102625,0.05045976095125404,0.9926823385659311,0.5702816301655256,0.034017822594956115,-0.12902786084048046,
127,1.754152378907732e-14,0.04013833613805323,0.029467538689787923,0.23124765545886808,0.09158814806427504,0.19074761110732907,0.40917574553425495,0.35034218510396836,0.307610022218273,6.774748457604483,0.06428830791259155,1.346466824423409,0.5612243953153628,0.03627843840949829,-0.08397498819044946,
128,3.153033389935395e-14,0.034614009433905336,0.02975982759315001,0.26843641748261754,0.10449835194763699,0.22233659005576278,0.41386035817030814,0.5835436985124717,0.29326610658573704,9.213972115540377,0.06779542258078486,1.4433875126056872,0.6908326992608238,0.041333204356353015,-0.10720830894935807,
130,9.992007221626358e-15,0.04230628393751716,0.028845444110028512,0.21019617787089892,0.08694049307116514,0.2571593542607301,0.48488768444121166,0.5855012842375119,0.3742949486113603,6.988818224965456,0.07526609769513937,1.6238583230938408,0.7187147404650318,0.04605322416380009,-0.15810493894082844,
134,1.3544720900427001e-14,0.03985017896657807,0.023151011224929078,0.2548377256253637,0.06511000890103934,0.2377069761447726,0.4988829296512528,0.41463051052102046,0.4103425841281202,3.995201621286819,0.05792666478126085,1.277444174358977,0.4617012041388202,0.029196356142024982,-0.08762058238318549,
138,1.5543122344752072e-14,0.05115753717889196,0.02474449045716967,0.23984913567927924,0.08217698033008979,0.10989278037287427,0.45058072148332134,0.36337165941299204,0.5760846315768496,3.100063122357386,0.0787644572045143,1.64274141355214,0.6885044773124349,0.06422802004977246,-0.20816200454861766,
144,3.0309088572267234e-14,0.049909959462316036,0.025893569591777216,0.17540277250816338,0.08885186211900017,0.20447602080632776,0.49770884306130936,0.357565340702535,0.31189104911552873,9.55316566224082,0.06188691626202547,1.276898572942864,0.708310991134864,0.04463691910945311,-0.17018415042674429,
146,1.643130076445218e-14,0.051681817695408055,0.023310193681143076,0.2636582753204721,0.06679329964289868,0.16169175764539945,0.5085257058829414,0.5624757243110285,0.3562308090512216,4.291151525951093,0.05179514120141149,1.0527326950176663,0.41581592917503407,0.022804227768391527,-0.06706065095342106,
147,2.1205259770340714e-14,0.05056569963296742,0.02211139491105749,0.22509343246930727,0.07417001324416783,0.14127800408699215,0.4235520117434166,0.6095417165105572,0.3209914121692137,4.425766775578914,0.044813514134799615,0.9230540122685316,0.3820848791185938,0.026698996128082797,-0.05552959172888672,
150,1.8873791418627838e-14,0.04748174083670602,0.021698414734130023,0.172850424298114,0.07499906306773199,0.18347308838361592,0.540691376142346,0.5494193371033967,0.3229841416885663,7.202586363518213,0.05019528475743518,1.014036694143483,0.5529810338577468,0.030711862750942842,-0.1348571332666637,
152,2.0650148258027697e-14,0.047336503582272316,0.02617615695171467,0.19848771525694095,0.0769192055824629,0.11473904118190795,0.5980588432290748,0.5802417367051091,0.2544719435193859,9.093740371193219,0.051397065639411155,0.9493924486956296,0.5372342028873156,0.018809983244105766,-0.1050461912119438,
155,6.683542608243219e-14,0.03797872947129271,0.026024741019772746,0.24578222521087345,0.1097054114900165,0.2268806402649953,0.5994040218287715,0.5979539687471151,0.38673712006267835,15.08671190235209,0.0805031502375868,1.669750716203544,1.2325204930134337,0.07795138751895969,-0.5659431281912819,
156,2.8088642523016855e-14,0.052267047740104086,0.02850392097307684,0.21231993238655583,0.07932843396567266,0.14904495156013273,0.5385332393711141,0.50332269920782,0.2658724581567004,7.5662254696127125,0.0554357706042925,1.057474575977202,0.5159087033305365,0.022330672606574176,-0.08243511230776601,
157,3.10862446895039e-14,0.04795354293136216,0.02276864852110343,0.17947505172458705,0.10423761380811095,0.24793023867450636,0.41857447002059855,0.5219965388832079,0.2992289859799573,16.407334458116583,0.059573609952144446,1.3671186695922488,0.942715200223887,0.09398300992833342,-0.3108055652233044,
165,1.8762769116165322e-14,0.03444243847001764,0.03077910675116491,0.21170455235269448,0.06654805103396257,0.1186098570641868,0.49201402184137594,0.49963887923325295,0.4223765658312877,3.820689791838938,0.07570059377796579,1.4504946624976256,0.4521758526401465,0.027757088852720102,-0.0941254986872142,
169,6.372680161348195e-14,0.0463317233161878,0.030679749992304946,0.25105978651341676,0.0907074078949013,0.16450947522175471,0.46756239493870805,0.5194293808892769,0.3797573051264275,6.0756677597619,0.07840095989186313,1.57904619049265,0.6486803159983179,0.03896144166373183,-0.12348769161113493,
171,5.373479439185613e-14,0.031913987060583335,0.023946408058606088,0.21983517928699528,0.08909791518093581,0.27228023060549744,0.4039727736840759,0.3946897126973156,0.45562545675061417,5.290179090791834,0.07045868774099784,1.7048600912854983,0.745144771044215,0.0710870725188828,-0.18704958498936275,
176,1.6320278461989934e-14,0.043300813396249416,0.024420877259443797,0.1904088599732634,0.07596818151610779,0.21710685632840904,0.5658808986848586,0.3789162187525225,0.31569048391341764,7.793091888792885,0.05634861186831852,1.1369830809938364,0.595119319047055,0.02830933058106666,-0.13590163686224566,
177,7.105427357600977e-15,0.042747596410277686,0.029911336169524474,0.23249089402640954,0.0727897599975589,0.18120238158774638,0.4790002519725594,0.6663641741440434,0.2893324682785884,5.282394660027431,0.05685621225634452,1.1350923264704216,0.42095420416259355,0.022253952948148026,-0.054620364309165836,
178,1.6875389974302237e-14,0.046562802801453154,0.026367478069923497,0.20481558065928457,0.0761241990861301,0.146980277583137,0.5229020560709573,0.6306764528912387,0.3502214641383235,5.96350187385556,0.06218003780539916,1.2172959688443008,0.5463781659993838,0.029198985720579884,-0.11341819903666339,
180,3.885780586187972e-14,0.05368823154871818,0.029542470107996013,0.18720953797193082,0.10375941215816897,0.26566605816445277,0.534028857996045,0.559746559056898,0.27482368413353186,18.179573697964855,0.07242689083411857,1.5090393134331581,0.9894627949602386,0.05940755376363516,-0.2926941724542109,
182,2.8865798640254113e-15,0.03384924328618595,0.022036237386157675,0.1977320681033643,0.07062264749220236,0.24077843186934697,0.44879831310460966,0.624602558316379,0.27017056939702466,5.663567850364328,0.04103197746613829,0.9027897803977725,0.3981359981715782,0.02542247942485254,-0.05580508031427511,
183,9.992007221626358e-15,0.047307959698722216,0.020514528335830624,0.25185945124344555,0.08427944176562531,0.254499620209252,0.4909069754388001,0.44732514005385204,0.47220602674813866,4.905205166816626,0.06155018504863885,1.3994539141696904,0.7059399882603401,0.05316090797700124,-0.19664039484962315,
184,6.117328865684799e-14,0.03441845100763646,0.025829126264170076,0.24755410993252383,0.08527686106610333,0.1504697731088916,0.5850799177324694,0.49641685281606907,0.4163049724748114,7.033967224113907,0.07405274971580855,1.4597748183465598,0.7861245197330335,0.03738290503483288,-0.2290479778752741,
186,9.103828801926325e-15,0.04895809306421807,0.031827218045037756,0.2330374701707955,0.07843175179831359,0.2418411257305084,0.4080218258739135,0.3875941841061633,0.2876916338876958,5.0655624385272064,0.05979667675497846,1.3283521596505032,0.42722723834824894,0.029398707647443345,-0.0450563463026854,
187,3.2418512319055095e-14,0.037265981773191015,0.0252603328631094,0.25444394970843354,0.0786290731329663,0.12142886870276544,0.49896393251372784,0.39970226233546546,0.45847181879736093,4.372629297899965,0.07097910164570509,1.4104271784984412,0.5927834127338549,0.03697897102474812,-0.14481164074617858,
190,5.1070259132757335e-15,0.03335247490263556,0.0297159681944153,0.2672853763143804,0.10656507142350044,0.14341757797979093,0.48432860300485575,0.6433886066648653,0.35853628903471485,9.748765768064118,0.08064488343856135,1.6012881702191395,0.8752523399216061,0.05105354632950476,-0.20628678918979126,
191,2.4868995751603197e-14,0.033715227500701134,0.02506760039002917,0.2351012628257565,0.1013121763292412,0.1892412415217019,0.5777823614468416,0.35253280614963434,0.2835075686827877,15.945529174100521,0.062222735051100875,1.236571542851883,0.8486010143620604,0.0406593924690668,-0.26352223335724956,
